TPLsp_append,OrganismType,SpeciesAuthor,Kingdom,Phylum,Class,Order,Family,SpeciesAccepted,Taxonomic.status,TPLsp
Nannochloris oculata,Algae,Nannochloris_oculata,Plantae,Chlorophyta,Tetraphytae,Chlorococcales,Coccomyxaceae,Nannochloris oculata,,Nannochloris oculata
Pterygophora californica,Algae,Pterygophora_californica,Chromalveolata,Heterokontophyta,Phaeophyceae,Laminariales,Alariaceae,Pterygophora californica,,Pterygophora californica
Sargassum muticum,Algae,Sargassum_muticum,Chromalveolata,Heterokontophyta,Phaeophyceae,Fucales,Sargassaceae,Sargassum muticum,,Sargassum muticum
Sargassum paniculatum,Algae,Sargassum_paniculatum,Chromalveolata,Heterokontophyta,Phaeophyceae,Fucales,Sargassaceae,Sargassum paniculatum,,Sargassum paniculatum
Sargassum siliquosum,Algae,Sargassum_siliquosum,Chromalveolata,Heterokontophyta,Phaeophyceae,Fucales,Sargassaceae,Sargassum siliquosum,,Sargassum siliquosum
Sargassum siliquosum,Algae,Sargassum_siliquosum_2,Chromista,Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Sargassum siliquosum,,Sargassum siliquosum
Abutilon theophrasti,Annual,Abutilon_theophrasti,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,Abutilon theophrasti,Accepted,Abutilon theophrasti
Aeschynomene virginica,Annual,Aeschynomene_virginica,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Leguminosae,Aeschynomene virginica,Accepted,Aeschynomene virginica
Agalinis auriculata,Annual,Agalinis_auriculata,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Orobanchaceae,Agalinis auriculata,Accepted,Agalinis auriculata
Anastatica hierochuntica,Annual,Anastatica_hierochuntica,Plantae,Magnoliophyta,Magnoliopsida,Brassicales,Brassicaceae,Anastatica hierochuntica,Accepted,Anastatica hierochuntica
Schizachyrium brevifolium,Annual,Andropogon_brevifolius,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Schizachyrium brevifolium,Accepted,Schizachyrium brevifolium
Androsace elongata,Annual,Androsace_elongata,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Primulaceae,Androsace elongata,Accepted,Androsace elongata
Anthriscus caucalis,Annual,Anthriscus_caucalis,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Anthriscus caucalis,Accepted,Anthriscus caucalis
Arabidopsis thaliana,Annual,Arabidopsis_thaliana,Plantae,Magnoliophyta,Magnoliopsida,Brassicales,Brassicaceae,Arabidopsis thaliana,Accepted,Arabidopsis thaliana
Arenaria serpyllifolia,Annual,Arenaria_serpyllifolia,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Arenaria serpyllifolia,Accepted,Arenaria serpyllifolia
Brassica napus,Annual,Brassica_napus,Plantae,Magnoliophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica napus,Accepted,Brassica napus
Brassica napus,Annual,Brassica_napus_2,Plantae,Magnoliophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica napus,Accepted,Brassica napus
Bromus tectorum,Annual,Bromus_tectorum,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Bromus tectorum,Accepted,Bromus tectorum
Bromus tectorum,Annual,Bromus_tectorum_2,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Bromus tectorum,Accepted,Bromus tectorum
Bromus tectorum,Annual,Bromus_tectorum_3,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,Bromus tectorum,Accepted,Bromus tectorum
Campanula americana,Annual,Campanulastrum_americanum,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Campanulaceae,Campanula americana,Accepted,Campanula americana
Carrichtera annua,Annual,Carrichtera_annua,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Carrichtera annua,Accepted,Carrichtera annua
Centaurea solstitialis,Annual,Centaurea_solstitialis,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Centaurea solstitialis,Accepted,Centaurea solstitialis
Centaurea stoebe,Annual,Centaurea_stoebe,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Centaurea stoebe,Accepted,Centaurea stoebe
Cerastium fontanum,Annual,Cerastium_fontanum,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Caryophyllaceae,Cerastium fontanum,Accepted,Cerastium fontanum
Cerastium pumilum,Annual,Cerastium_pumilum,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Caryophyllaceae,Cerastium pumilum,Accepted,Cerastium pumilum
Chenopodium album,Annual,Chenopodium_album,Plantae,Magnoliophyta,Liliopsida,Zingiberales,Amaranthaceae,Chenopodium album,Accepted,Chenopodium album
Clarkia xantiana,Annual,Clarkia_xantiana_subsp._xantiana,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Onagraceae,Clarkia xantiana,Accepted,Clarkia xantiana
Collinsia verna,Annual,Collinsia_verna,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Plantaginaceae,Collinsia verna,Accepted,Collinsia verna
Erigeron canadensis,Annual,Conyza_canadensis,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Erigeron canadensis,Accepted,Erigeron canadensis
Eriophyllum lanosum,Annual,Eriophyllum_lanosum,Plantae,Magnoliophyta,Magnoliopsida,Geraniales,Geraniaceae,Eriophyllum lanosum,Accepted,Eriophyllum lanosum
Erodium cicutarium,Annual,Erodium_cicutarium,Plantae,Magnoliophyta,Magnoliopsida,Geraniales,Geraniaceae,Erodium cicutarium,Accepted,Erodium cicutarium
Erodium texanum,Annual,Erodium_texanum,Plantae,Magnoliophyta,Magnoliopsida,Geraniales,Geraniaceae,Erodium texanum,Accepted,Erodium texanum
Evax multicaulis,Annual,Evax_multicaulis,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Evax multicaulis,Accepted,Evax multicaulis
Froelichia floridana,Annual,Froelichia_floridana,Plantae,Magnoliophyta,Liliopsida,Zingiberales,Amaranthaceae,Froelichia floridana,Accepted,Froelichia floridana
Gilia tenuiflora,Annual,Gilia_tenuiflora_subsp._hoffmannii,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Polemoniaceae,Gilia tenuiflora hoffmannii,Accepted,Gilia tenuiflora
Holocarpha macradenia,Annual,Holocarpha_macradenia,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Holocarpha macradenia,Accepted,Holocarpha macradenia
Hordeum spontaneum,Annual,Hordeum_spontaneum,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Hordeum spontaneum,Accepted,Hordeum spontaneum
Impatiens capensis,Annual,Impatiens_capensis,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Balsaminaceae,Impatiens capensis,Accepted,Impatiens capensis
Lactuca sativa,Annual,Lactuca_sativa,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Lactuca sativa,Accepted,Lactuca sativa
Lactuca serriola,Annual,Lactuca_serriola,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Lactuca serriola,Accepted,Lactuca serriola
Lactuca serriola,Annual,Lactuca_serriola_2,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Lactuca serriola,Accepted,Lactuca serriola
Lepidium campestre,Annual,Lepidium_campestre,Plantae,Magnoliophyta,Magnoliopsida,Brassicales,Brassicaceae,Lepidium campestre,Accepted,Lepidium campestre
Lepidium papilliferum,Annual,Lepidium_papilliferum,Plantae,Magnoliophyta,Magnoliopsida,Brassicales,Brassicaceae,Lepidium papilliferum,Accepted,Lepidium papilliferum
Malacothrix indecora,Annual,Malacothrix_indecora,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Compositae,Malacothrix indecora,Accepted,Malacothrix indecora
Melampyrum pratense,Annual,Melampyrum_pratense,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Orobanchaceae,Melampyrum pratense,Accepted,Melampyrum pratense
Microstegium vimineum,Annual,Microstegium_vimineum,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Microstegium vimineum,Accepted,Microstegium vimineum
Microstegium vimineum,Annual,Microstegium_vimineum_2,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Microstegium vimineum,Accepted,Microstegium vimineum
Thlaspi perfoliatum,Annual,Microthlaspi_perfoliatum,Plantae,Magnoliophyta,Magnoliopsida,Brassicales,Brassicaceae,Microthlaspi perfoliatum,Synonym,Thlaspi perfoliatum
Monoptilon bellioides,Annual,Monoptilon_bellioides,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Monoptilon bellioides,Accepted,Monoptilon bellioides
Murdannia nudiflora,Annual,Murdannia_nudiflora,Plantae,Magnoliophyta,Liliopsida,Commelinales,Commelinaceae,Murdannia nudiflora,Accepted,Murdannia nudiflora
Myosotis ramosissima,Annual,Myosotis_ramosissima,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Boraginaceae,Myosotis ramosissima,Accepted,Myosotis ramosissima
Oryza sativa,Annual,Oryza_sativa,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Oryza sativa,Accepted,Oryza sativa
Oryza sativa,Annual,Oryza_sativa_var._sylvatica,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Oryza sativa,Accepted,Oryza sativa
Pectocarya heterocarpa,Annual,Pectocarya_heterocarpa,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Boraginaceae,Pectocarya heterocarpa,Accepted,Pectocarya heterocarpa
Pectocarya recurvata,Annual,Pectocarya_recurvata,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Boraginaceae,Pectocarya recurvata,Accepted,Pectocarya recurvata
Persicaria maculosa,Annual,Persicaria_maculosa,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria maculosa,Accepted,Persicaria maculosa
Phacelia insularis,Annual,Phacelia_insularis_var._insularis,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Boraginaceae,Phacelia insularis,Accepted,Phacelia insularis
Phalaris brachystachys,Annual,Phalaris_brachystachys,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Phalaris brachystachys,Accepted,Phalaris brachystachys
Phlox drummondii,Annual,Phlox_drummondii,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Polemoniaceae,Phlox drummondii,Accepted,Phlox drummondii
Plantago insularis,Annual,Plantago_insularis,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago insularis,Accepted,Plantago insularis
Plantago patagonica,Annual,Plantago_patagonica,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago patagonica,Accepted,Plantago patagonica
Polygonum perfoliatum,Annual,Polygonum_perfoliatum,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonum perfoliatum,Accepted,Polygonum perfoliatum
Persicaria maculosa,Annual,Polygonum_persicaria,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria maculosa,Accepted,Persicaria maculosa
Rhinanthus minor,Annual,Rhinanthus_minor,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Orobanchaceae,Rhinanthus minor,Accepted,Rhinanthus minor
Salsola kali,Annual,Salsola_australis,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Salsola kali,Accepted,Salsola kali
Saxifraga tridactylites,Annual,Saxifraga_tridactylites,Plantae,Magnoliophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Saxifraga tridactylites,Accepted,Saxifraga tridactylites
Schismus barbatus,Annual,Schismus_barbatus,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Schismus barbatus,Accepted,Schismus barbatus
Schismus barbatus,Annual,Schismus_barbatus_2,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Schismus barbatus,Accepted,Schismus barbatus
Glottidium vesicarium,Annual,Sesbania_vesicaria,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Leguminosae,Glottidium vesicarium,Accepted,Glottidium vesicarium
Setaria faberi,Annual,Setaria_faberi,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Setaria faberi,Accepted,Setaria faberi
Setaria faberi,Annual,Setaria_faberi_2,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Setaria faberi,Accepted,Setaria faberi
Setaria faberi,Annual,Setaria_faberi_3,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Setaria faberi,Accepted,Setaria faberi
Sorghum brachypodum,Annual,Sorghum_brachypodum,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Sorghum brachypodum,Accepted,Sorghum brachypodum
Striga hermonthica,Annual,Striga_hermonthica,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Orobanchaceae,Striga hermonthica,Accepted,Striga hermonthica
Stylocline micropoides,Annual,Stylocline_micropoides,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Stylocline micropoides,Accepted,Stylocline micropoides
Thlaspi perfoliatum,Annual,Thlaspi_perfoliatum,Plantae,Magnoliophyta,Magnoliopsida,Brassicales,Brassicaceae,Thlaspi perfoliatum,Accepted,Thlaspi perfoliatum
Veronica arvensis,Annual,Veronica_arvensis,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Plantaginaceae,Veronica arvensis,Accepted,Veronica arvensis
Veronica arvensis,Annual,Veronica_arvensis_2,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Plantaginaceae,Veronica arvensis,Accepted,Veronica arvensis
Vulpia fasciculata,Annual,Vulpia_fasciculata,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Vulpia fasciculata,Accepted,Vulpia fasciculata
Vulpia octoflora,Annual,Vulpia_octoflora,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Vulpia octoflora,Accepted,Vulpia octoflora
Warea carteri,Annual,Warea_carteri,Plantae,Magnoliophyta,Magnoliopsida,Brassicales,Brassicaceae,Warea carteri,Accepted,Warea carteri
Zea mays,Annual,Zea_mays_subsp._parviglumis,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Zea mays,Accepted,Zea mays
Anastrophyllum hellerianum,Bryophyte,Anastrophyllum_hellerianum,Plantae,Hepatophyta,Jungermanniopsida,Jungermanniales,Anastrophyllaceae,Anastrophyllum hellerianum,Accepted,Anastrophyllum hellerianum
Hylocomium splendens,Bryophyte,Hylocomium_splendens,Plantae,Bryophyta,Bryopsida,Hypnales,Hylocomiaceae,Hylocomium splendens,Accepted,Hylocomium splendens
Hylocomium splendens,Bryophyte,Hylocomium_splendens_2,Plantae,Bryophyta,Bryopsida,Hypnales,Hylocomiaceae,Hylocomium splendens,Accepted,Hylocomium splendens
Aspasia principissa,Epiphyte,Aspasia_principissa,Plantae,Pteridophyta,Pteridopsida,Blechnales,Orchidaceae,Aspasia principissa,Accepted,Aspasia principissa
Catopsis compacta,Epiphyte,Catopsis_compacta,Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Catopsis compacta,Accepted,Catopsis compacta
Catopsis sessiliflora,Epiphyte,Catopsis_sessiliflora,Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Catopsis sessiliflora,Accepted,Catopsis sessiliflora
Dendrophylax lindenii,Epiphyte,Dendrophylax_lindenii,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dendrophylax lindenii,Accepted,Dendrophylax lindenii
Dimerandra emarginata,Epiphyte,Dimerandra_emarginata,Plantae,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Dimerandra emarginata,Accepted,Dimerandra emarginata
Guarianthe aurantiaca,Epiphyte,Guarianthe_aurantiaca,Plantae,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Guarianthe aurantiaca,Accepted,Guarianthe aurantiaca
Heteropsis flexuosa,Epiphyte,Heteropsis_flexuosa,Plantae,Magnoliophyta,Liliopsida,Alismatales,Araceae,Heteropsis flexuosa,Accepted,Heteropsis flexuosa
Heteropsis macrophylla,Epiphyte,Heteropsis_macrophylla,Plantae,Magnoliophyta,Liliopsida,Alismatales,Araceae,Heteropsis macrophylla,Accepted,Heteropsis macrophylla
Heteropsis oblongifolia,Epiphyte,Heteropsis_oblongifolia,Plantae,Magnoliophyta,Liliopsida,Alismatales,Araceae,Heteropsis oblongifolia,Accepted,Heteropsis oblongifolia
Jacquiniella leucomelana,Epiphyte,Jacquiniella_leucomelana,Plantae,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Jacquiniella leucomelana,Accepted,Jacquiniella leucomelana
Jacquiniella leucomelana,Epiphyte,Jacquiniella_leucomelana_2,Plantae,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Jacquiniella leucomelana,Accepted,Jacquiniella leucomelana
Jacquiniella teretifolia,Epiphyte,Jacquiniella_teretifolia,Plantae,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Jacquiniella teretifolia,Accepted,Jacquiniella teretifolia
Jacquiniella teretifolia,Epiphyte,Jacquiniella_teretifolia_2,Plantae,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Jacquiniella teretifolia,Accepted,Jacquiniella teretifolia
Lepanthes caritensis,Epiphyte,Lepanthes_caritensis,Plantae,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Lepanthes caritensis,Accepted,Lepanthes caritensis
Lepanthes eltoroensis,Epiphyte,Lepanthes_eltoroensis,Plantae,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Lepanthes eltoroensis,Accepted,Lepanthes eltoroensis
Lepanthes rubripetala,Epiphyte,Lepanthes_rubripetala,Plantae,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Lepanthes rubripetala,Accepted,Lepanthes rubripetala
Lepanthes rubripetala,Epiphyte,Lepanthes_rubripetala_2,Plantae,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Lepanthes rubripetala,Accepted,Lepanthes rubripetala
Lycaste aromatica,Epiphyte,Lycaste_aromatica,Plantae,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Lycaste aromatica,Accepted,Lycaste aromatica
Lycaste aromatica,Epiphyte,Lycaste_aromatica_2,Plantae,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Lycaste aromatica,Accepted,Lycaste aromatica
Tillandsia brachycaulos,Epiphyte,Tillandsia_brachycaulos,Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Tillandsia brachycaulos,Accepted,Tillandsia brachycaulos
Tillandsia butzii,Epiphyte,Tillandsia_butzii,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Tillandsia butzii,Accepted,Tillandsia butzii
Tillandsia deppeana,Epiphyte,Tillandsia_deppeana,Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Tillandsia deppeana,Accepted,Tillandsia deppeana
Tillandsia flexuosa,Epiphyte,Tillandsia_flexuosa,Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Tillandsia flexuosa,Accepted,Tillandsia flexuosa
Tillandsia juncea,Epiphyte,Tillandsia_juncea,Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Tillandsia juncea,Accepted,Tillandsia juncea
Tillandsia macdougallii,Epiphyte,Tillandsia_macdougallii,Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Tillandsia macdougallii,Accepted,Tillandsia macdougallii
Tillandsia multicaulis,Epiphyte,Tillandsia_multicaulis,Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Tillandsia multicaulis,Accepted,Tillandsia multicaulis
Tillandsia multicaulis,Epiphyte,Tillandsia_multicaulis_2,Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Tillandsia multicaulis,Accepted,Tillandsia multicaulis
Tillandsia punctulata,Epiphyte,Tillandsia_punctulata,Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Tillandsia punctulata,Accepted,Tillandsia punctulata
Tillandsia punctulata,Epiphyte,Tillandsia_punctulata_2,Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Tillandsia punctulata,Accepted,Tillandsia punctulata
Tillandsia recurvata,Epiphyte,Tillandsia_recurvata,Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Tillandsia recurvata,Accepted,Tillandsia recurvata
Tillandsia violacea,Epiphyte,Tillandsia_violacea,Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Tillandsia violacea,Accepted,Tillandsia violacea
Tolumnia variegata,Epiphyte,Tolumnia_variegata,Plantae,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Tolumnia variegata,Accepted,Tolumnia variegata
Vulpicida pinastri,Epiphyte,Vulpicida_pinastri,Fungi,NA,Lecanoromycetes,Lecanorales,Parmeliaceae,Vulpicida pinastri,,Vulpicida pinastri
Vriesea sanguinolenta,Epiphyte,Werauhia_sanguinolenta,Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Vriesea sanguinolenta,Accepted,Vriesea sanguinolenta
Asplenium adulterinum,Fern,Asplenium_adulterinum,Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium adulterinum,Accepted,Asplenium adulterinum
Asplenium cuneifolium,Fern,Asplenium_cuneifolium,Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium cuneifolium,Unresolved,Asplenium cuneifolium
Asplenium scolopendrium,Fern,Asplenium_scolopendrium,Plantae,Pteridophyta,Pteridopsida,Blechnales,Aspleniaceae,Asplenium scolopendrium,Accepted,Asplenium scolopendrium
Botrychium mormo,Fern,Botrychium_mormo,Plantae,Pteridophyta,Psilotopsida,Ophioglossales,Ophioglossaceae,Botrychium mormo,Accepted,Botrychium mormo
Polystichum aculeatum,Fern,Polystichum_aculeatum,Plantae,Pteridophyta,Pteridopsida,Polypodiales,Dryopteridaceae,Polystichum aculeatum,Accepted,Polystichum aculeatum
Polystichum setiferum,Fern,Polystichum_setiferum,Plantae,Pteridophyta,Pteridopsida,Polypodiales,Dryopteridaceae,Polystichum setiferum,Accepted,Polystichum setiferum
Achillea millefolium,Herbaceous perennial,Achillea_millefolium,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Achillea millefolium,Accepted,Achillea millefolium
Stipa calamagrostis,Herbaceous perennial,Achnatherum_calamagrostis,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Stipa calamagrostis,Accepted,Stipa calamagrostis
Achyranthes bidentata,Herbaceous perennial,Achyranthes_japonica,Plantae,NA,NA,Caryophyllales,Amaranthaceae,Achyranthes japonica,Synonym,Achyranthes bidentata
Aconitum noveboracense,Herbaceous perennial,Aconitum_noveboracense,Plantae,Magnoliophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum noveboracense,Accepted,Aconitum noveboracense
Aconitum noveboracense,Herbaceous perennial,Aconitum_noveboracense_2,Plantae,Magnoliophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum noveboracense,Accepted,Aconitum noveboracense
Actaea elata,Herbaceous perennial,Actaea_elata,Plantae,Magnoliophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Actaea elata,Accepted,Actaea elata
Actaea spicata,Herbaceous perennial,Actaea_spicata,Plantae,Magnoliophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Actaea spicata,Accepted,Actaea spicata
Adenocarpus aureus,Herbaceous perennial,Adenocarpus_gibbsianus,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Leguminosae,Adenocarpus aureus gibbsianus,Unresolved,Adenocarpus aureus
Adenophora lobophylla,Herbaceous perennial,Adenophora_lobophylla,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Campanulaceae,Adenophora lobophylla,Accepted,Adenophora lobophylla
Adenophora potaninii,Herbaceous perennial,Adenophora_potaninii,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Campanulaceae,Adenophora potaninii,Accepted,Adenophora potaninii
